order_id,customer_email,billing_country,shipping_country,amount,is_first_time_buyer,payment_avs_result,payment_cvv_result,num_orders_last_7_days,chargeback_flag
ORD_100000,user0@example.com,DE,UK,56.31,0,Y,Y,3,1
ORD_100001,user1@example.com,AU,CA,20.35,0,Y,Y,0,0
ORD_100002,user2@example.com,US,US,241.35,1,Y,Y,2,1
ORD_100003,user3@example.com,US,US,420.43,0,Y,Y,1,0
ORD_100004,user4@example.com,UK,AU,24.08,0,Y,Y,0,0
ORD_100005,user5@example.com,US,US,43.53,0,N,Y,1,1
ORD_100006,user6@example.com,DE,DE,41.31,1,Y,Y,1,0
ORD_100007,user7@example.com,IN,IN,41.46,0,N,Y,1,0
ORD_100008,user8@example.com,CA,CA,184.55,1,Y,Y,0,0
ORD_100009,user9@example.com,DE,DE,86.64,0,Y,Y,1,0
ORD_100010,user10@example.com,IN,IN,112.24,1,N,Y,0,1
ORD_100011,user11@example.com,DE,DE,8.07,0,Y,Y,3,0
ORD_100012,user12@example.com,UK,DE,12.33,1,Y,Y,1,1
ORD_100013,user13@example.com,DE,DE,15.62,1,Y,Y,1,0
ORD_100014,user14@example.com,DE,DE,288.05,1,Y,N,0,0
ORD_100015,user15@example.com,CA,US,130.35,0,Y,Y,1,1
ORD_100016,user16@example.com,AU,CA,94.95,1,Y,N,0,1
ORD_100017,user17@example.com,US,US,419.14,0,Y,Y,5,0
ORD_100018,user18@example.com,DE,DE,26.18,1,Y,Y,0,1
ORD_100019,user19@example.com,DE,DE,47.22,0,Y,Y,1,0
ORD_100020,user20@example.com,DE,DE,211.75,0,Y,Y,1,0
ORD_100021,user21@example.com,AU,AU,93.89,1,Y,Y,0,0
ORD_100022,user22@example.com,UK,UK,194.46,0,N,N,0,0
ORD_100023,user23@example.com,CA,CA,520.1,0,Y,Y,1,0
ORD_100024,user24@example.com,UK,UK,0.66,1,N,N,4,1
ORD_100025,user25@example.com,DE,DE,53.27,1,Y,Y,0,0
ORD_100026,user26@example.com,AU,AU,238.62,0,Y,Y,1,0
ORD_100027,user27@example.com,IN,IN,7.88,0,Y,Y,1,0
ORD_100028,user28@example.com,US,US,156.95,0,Y,Y,2,0
ORD_100029,user29@example.com,AU,DE,15.28,1,Y,Y,3,0
ORD_100030,user30@example.com,US,AU,81.7,1,Y,Y,1,1
ORD_100031,user31@example.com,DE,DE,3.09,0,Y,Y,0,1
ORD_100032,user32@example.com,US,US,3.83,0,Y,Y,1,0
ORD_100033,user33@example.com,CA,CA,85.25,0,Y,Y,1,0
ORD_100034,user34@example.com,US,US,63.39,0,N,N,1,1
ORD_100035,user35@example.com,IN,IN,9.61,1,Y,Y,0,0
ORD_100036,user36@example.com,CA,AU,21.1,1,N,Y,5,1
ORD_100037,user37@example.com,DE,DE,267.7,1,Y,Y,3,1
ORD_100038,user38@example.com,AU,AU,13.99,0,Y,Y,0,0
ORD_100039,user39@example.com,AU,AU,66.85,0,Y,Y,2,1
ORD_100040,user40@example.com,US,US,85.79,0,Y,N,1,1
ORD_100041,user41@example.com,AU,AU,15.32,0,Y,Y,2,0
ORD_100042,user42@example.com,UK,UK,87.77,1,Y,Y,1,0
ORD_100043,user43@example.com,UK,UK,428.14,0,Y,Y,1,0
ORD_100044,user44@example.com,US,UK,82.52,1,Y,Y,0,0
ORD_100045,user45@example.com,IN,IN,40.23,0,Y,Y,0,0
ORD_100046,user46@example.com,DE,DE,112.86,1,N,Y,1,1
ORD_100047,user47@example.com,UK,US,39.2,0,Y,Y,1,1
ORD_100048,user48@example.com,IN,IN,18.78,1,Y,Y,2,1
ORD_100049,user49@example.com,US,AU,133.82,1,Y,Y,1,0
ORD_100050,user50@example.com,UK,AU,156.33,1,Y,Y,1,1
ORD_100051,user51@example.com,DE,DE,120.46,0,Y,Y,1,0
ORD_100052,user52@example.com,IN,CA,216.44,0,N,Y,1,0
ORD_100053,user53@example.com,US,US,5.0,1,N,Y,2,1
ORD_100054,user54@example.com,IN,IN,86.12,0,N,Y,0,1
ORD_100055,user55@example.com,UK,UK,124.33,1,Y,Y,0,1
ORD_100056,user56@example.com,UK,US,140.91,1,N,Y,2,0
ORD_100057,user57@example.com,CA,CA,50.06,0,Y,Y,0,0
ORD_100058,user58@example.com,UK,UK,310.34,1,Y,Y,1,1
ORD_100059,user59@example.com,AU,AU,129.45,0,Y,N,2,0
ORD_100060,user60@example.com,UK,DE,33.23,1,Y,Y,0,0
ORD_100061,user61@example.com,AU,DE,273.01,0,Y,Y,2,0
ORD_100062,user62@example.com,AU,AU,51.55,0,Y,Y,4,1
ORD_100063,user63@example.com,UK,UK,10.55,0,Y,Y,0,0
ORD_100064,user64@example.com,CA,CA,274.59,1,Y,Y,1,0
ORD_100065,user65@example.com,CA,CA,12.84,0,Y,Y,1,0
ORD_100066,user66@example.com,US,US,21.04,0,Y,Y,2,0
ORD_100067,user67@example.com,CA,CA,30.47,0,Y,Y,1,1
ORD_100068,user68@example.com,DE,US,47.24,1,Y,Y,3,0
ORD_100069,user69@example.com,IN,IN,100.81,0,Y,Y,0,0
ORD_100070,user70@example.com,CA,CA,55.01,0,Y,N,0,1
ORD_100071,user71@example.com,DE,DE,33.56,1,Y,Y,3,0
ORD_100072,user72@example.com,US,US,190.06,0,Y,N,1,1
ORD_100073,user73@example.com,US,US,81.4,0,Y,Y,0,0
ORD_100074,user74@example.com,AU,AU,153.81,1,Y,Y,0,0
ORD_100075,user75@example.com,AU,AU,2.95,0,Y,Y,1,0
ORD_100076,user76@example.com,IN,IN,338.53,1,Y,Y,3,1
ORD_100077,user77@example.com,UK,UK,316.26,1,Y,Y,4,1
ORD_100078,user78@example.com,US,UK,58.36,1,Y,Y,1,0
ORD_100079,user79@example.com,CA,CA,22.29,1,Y,Y,3,0
ORD_100080,user80@example.com,AU,AU,12.27,0,N,Y,2,0
ORD_100081,user81@example.com,US,US,87.66,1,Y,Y,4,1
ORD_100082,user82@example.com,CA,CA,41.71,0,Y,Y,4,0
ORD_100083,user83@example.com,CA,CA,83.54,1,Y,Y,3,1
ORD_100084,user84@example.com,AU,AU,264.88,1,Y,Y,1,0
